PaperID,Title,Year,Venue,PublicationType,Category,RQ,TaxonomyLayer,VenueTier,RelevanceScore,ReferenceRole,AnchorType,MethodOrContribution,DatasetOrBenchmark,LanguageCoverage,Evaluation,MainFinding,Limitations,UseInReview,VerificationStatus
BA11,"Self-Supervised Speech Representation Learning: A Review",2022,"IEEE Journal on Selected Topics in Signal Processing","JournalArticle","Survey","RQ2;RQ3","Foundations|SSL survey","Top-tier",5,"CoreAnchor","SSLSurveyAnchor","Review of self-supervised speech learning paradigms and downstream implications","SSL speech literature","Broad speech literature","Review synthesis","Canonical bridge from label scarcity to reusable speech representations.","Broader than ASR alone; not low-resource-specific.","Use in SSL/foundation-model precursor section and data-scarcity framing.","Verified DOI"
BA12,"A Historical Perspective of Speech Recognition",2014,"Communications of the ACM","JournalArticle","Survey","RQ1","Foundations|Historical framing","Top-tier",3,"HighValue","HistoricalReviewAnchor","Historical review of major ASR advances","Historical ASR field","General ASR","Historical synthesis","Useful historical background for pre-SSL and pre-foundation-model framing.","Not low-resource-specific.","Use only in historical background and transition from classical to modern ASR.","Verified DOI"
BA13,"Speech recognition and keyword spotting for low-resource languages: Babel project research at CUED",2014,"SLTU 2014","WorkshopPaper","Benchmark","RQ1;RQ3;RQ6","Hist|Bench","Strong",4,"BenchmarkAnchor","HistoricalLowResourceBenchmark","Foundational low-resource ASR and KWS program paper grounded in Babel","IARPA Babel language packs","Multiple under-resourced languages","ASR and KWS under limited/full data","Establishes enduring low-resource bottlenecks and challenge-style evaluation logic.","Workshop venue; predates foundation models.","Use in historical benchmark lineage and constrained-data evaluation discussion.","Verified DOI/archival metadata"
BA14,"OpenASR20: An Open Challenge for Automatic Speech Recognition of Conversational Telephone Speech in Low-Resource Languages",2021,"Interspeech 2021","ConferencePaper","Benchmark","RQ1;RQ3;RQ6","Bench|Eval","Top-tier",4,"HighValue","ChallengeBenchmarkAnchor","Open challenge for conversational low-resource telephone speech ASR","OpenASR20 / IARPA MATERIAL","10 low-resource languages","Challenge WER under constrained settings","Open challenge for realistic low-resource CTS evaluation.","Challenge summary rather than broad benchmark family.","Use in evaluation section for realistic constrained CTS benchmarking.","Verified DOI"
BA15,"OpenASR21: The Second Open Challenge for Automatic Speech Recognition of Low-Resource Languages",2022,"Interspeech 2022","ConferencePaper","Benchmark","RQ1;RQ3;RQ6","Bench|Eval","Top-tier",4,"HighValue","ChallengeBenchmarkAnchor","Expanded open challenge with new languages and case-sensitive scoring","OpenASR21 / IARPA MATERIAL","15 low-resource languages","Challenge WER and case-sensitive scoring","Extends open challenge logic with more languages and rigorous scoring.","Challenge-oriented, not a broad benchmark family.","Use in evaluation section and benchmark evolution discussion.","Verified DOI"
BA16,"SUPERB: Speech Processing Universal PERformance Benchmark",2021,"Interspeech 2021","ConferencePaper","Benchmark","RQ2;RQ6","Bench|Eval","Top-tier",4,"BenchmarkAnchor","BenchmarkFoundationAnchor","Universal benchmark for speech representation evaluation","SUPERB tasks","Mostly English","Multiple speech tasks","Field-defining benchmark design paper that shaped later multilingual benchmarks.","Mostly English; not low-resource-specific.","Use as background for benchmark evolution.","Verified DOI"
BA17,"XTREME-S: Evaluating Cross-lingual Speech Representations",2022,"Interspeech 2022","ConferencePaper","Benchmark","RQ2;RQ6","Bench|Eval","Top-tier",4,"BenchmarkAnchor","CrossLingualBenchmarkAnchor","Cross-lingual benchmark for speech representations","XTREME-S","102 languages","ASR and related tasks","Shows the move from generic speech benchmarks to cross-lingual evaluation.","Not focused exclusively on ASR or underrepresented languages.","Use as benchmark evolution support.","Verified DOI"
BA18,"IndicSUPERB: A Speech Processing Universal Performance Benchmark for Indian Languages",2023,"Proceedings of the AAAI Conference on Artificial Intelligence","ConferencePaper","Benchmark","RQ1;RQ3;RQ6","Bench|Corpora","Top-tier",5,"BenchmarkAnchor","RegionalBenchmarkAnchor","Regional multilingual benchmark with deeper labeled coverage across speech tasks","IndicSUPERB/Kathbath","12 Indian languages","ASR and auxiliary speech tasks","Strong example of region-aware benchmark design.","Region-specific rather than universal.","Use in regional benchmark and evaluation discussion.","Verified DOI"
BA19,"MLS: A Large-Scale Multilingual Dataset for Speech Research",2020,"Interspeech 2020","ConferencePaper","Benchmark","RQ1;RQ3","Corpora","Top-tier",4,"HighValue","CorpusAnchor","Large multilingual transcribed corpus with ASR baselines","MLS","8 languages","Dataset paper with ASR baselines","Strong resource anchor for multilingual ASR scaling.","More read-speech than many real-world low-resource settings.","Use in resources/corpora section as major transcribed multilingual corpus.","Verified DOI"
BA20,"CMU Wilderness Multilingual Speech Dataset",2019,"ICASSP 2019","ConferencePaper","Benchmark","RQ1;RQ3","Corpora","Top-tier",4,"HighValue","ExtremeCoverageCorpusAnchor","Multilingual speech dataset release for low-resource experimentation","CMU Wilderness","Potentially 700 languages","ASR baselines","Useful early multilingual corpus anchor for the transition to modern pretraining corpora.","Older and less benchmark-centric than later datasets.","Use as historical multilingual corpus background.","Verified DOI"
BA21,"AfriSpeech-200: Pan-African Accented Speech Dataset for Clinical and General Domain ASR",2023,"Transactions of the Association for Computational Linguistics","DatasetPaper","Benchmark","RQ1;RQ6","Bench|Fair/Dialect","Top-tier",4,"BenchmarkAnchor","AccentRobustnessBenchmarkAnchor","Pan-African accented English ASR benchmark with public baselines","AfriSpeech-200","120 accents across 13 countries","WER","Makes accent bias and African speech coverage benchmarkable.","English-focused.","Use in fairness/accent robustness section.","Verified DOI"
BA22,"AfriVox: Probing Multilingual and Accent Robustness of Speech LLMs",2026,"Proceedings of EACL 2026","ConferencePaper","Benchmark","RQ2;RQ6","Bench|SpeechLM/LLM|Fair/Dialect","Top-tier",5,"BenchmarkAnchor","SpeechLLMBenchmarkAnchor","Benchmark for multilingual and accent robustness of speech LLMs","AfriVox","20 African languages plus accented French/Arabic and 100+ African English accents","Comparative speech-LLM evaluation","Best current benchmark bridge between low-resource ASR evaluation and speech LLMs.","Very recent; field may move quickly.","Use in LLM-related benchmarking, robustness, and future agenda sections.","Verified DOI"
BA23,"FormosanBench: Benchmarking Low-Resource Austronesian Languages in the Era of Large Language Models",2025,"Findings of EMNLP 2025","ConferencePaper","BenchmarkWatchlist","RQ1;RQ5;RQ6","Bench|SpeechLM/LLM","Strong",4,"Watchlist","ReserveDomainBenchmark","Benchmark construction for three endangered Austronesian languages across ASR, MT, and summarization","FormosanBench","Atayal; Amis; Paiwan","WER; MT metrics; summarization metrics","Useful reserve benchmark exposing how current large models transfer to endangered underrepresented languages.","Only three languages and multi-task scope means ASR coverage is narrower than general multilingual benchmarks.","Use as a reserve case box for endangered-language benchmarking and benchmark-tail coverage.","Verified DOI"
BA24,"LoASR-Bench: Evaluating Large Speech Language Models on Low-Resource Automatic Speech Recognition Across Language Families",2026,"arXiv","Preprint","BenchmarkWatchlist","RQ2;RQ6","Bench|SpeechLM/LLM","Preprint",4,"Watchlist","ReserveEmergingBenchmark","Emerging benchmark for SpeechLM-based ASR across low-resource language families","LoASR-Bench","25 languages from 9 language families","ASR error rates across languages and scripts","Highly relevant frontier benchmark for speech-LLM low-resource evaluation.","Preprint only; metrics and protocol still need peer-reviewed validation and community uptake.","Use in a watchlist box and future-work section.","Verified arXiv DOI"
B01,"wav2vec 2.0",2020,"NeurIPS","Conference","SSL","RQ2","Acoustic SSL encoder","Top-tier",5,"CoreAnchor","ModelAnchor","Contrastive masked SSL","wav2vec 2.0","Libri-Light/LibriSpeech; English","WER","Established transfer-from-SSL as the modern starting point","Mostly English pretraining; needs fine-tuning","§6.1","verified"
B02,"HuBERT: Self-Supervised Speech Representation Learning by Masked Prediction of Hidden Units",2021,"IEEE/ACM TASLP","Journal","SSL","RQ2","Acoustic SSL encoder","Top-tier",5,"CoreAnchor","ModelAnchor","Iterative masked prediction of hidden units","HuBERT","English SSL corpora","WER","Strong masked-unit SSL baseline; conceptual bridge to later encoders","Multilingual low-resource evidence is indirect","§6.1","needs verification"
B03,"WavLM: Large-Scale Self-Supervised Pre-Training for Full Stack Speech Processing",2021,"arXiv / tech report","Preprint","SSL","RQ2","Acoustic SSL encoder","Strong",4,"CoreAnchor","ModelAnchor","HuBERT-style SSL plus speaker-aware objectives","WavLM","94k h public speech; mostly English","SUPERB; WER","Stronger universal speech features including speaker cues","Venue details and non-English value need careful framing","§6.1","needs verification"
B04,"data2vec: A General Framework for Self-Supervised Learning in Speech, Vision and Language",2022,"ICML","Conference","SSL","RQ2","Cross-modal SSL","Top-tier",4,"HighValue","MethodAnchor","Teacher-student latent regression","data2vec","Speech; vision; text","WER; cross-modal metrics","Important general SSL objective with speech relevance","Not a multilingual ASR paper per se","§6.1","verified"
B05,"Self-supervised Learning with Random-Projection Quantizer for Speech Recognition",2022,"ICML","Conference","SSL","RQ2","Acoustic SSL encoder","Top-tier",4,"HighValue","MethodAnchor","Random-projection quantization targets","RPQ / BEST-RQ line","LibriSpeech-style speech SSL","WER","Simplifies discrete target generation and improves stability","Mostly English evidence","§6.1","verified"
B06,"XLS-R: Self-Supervised Cross-Lingual Speech Representation Learning at Scale",2022,"Interspeech","Conference","Multilingual SSL","RQ2","Multilingual SSL scaling","Top-tier",5,"CoreAnchor","ModelAnchor","Cross-lingual SSL scaled to 128 languages","XLS-R","128 languages; 436k h unlabeled speech","WER; CER","Core multilingual transfer anchor for low-resource ASR","Gains remain coverage- and adaptation-sensitive","§6.2","verified"
B07,"mHuBERT-147: A Compact Multilingual HuBERT Model",2024,"Interspeech","Conference","Multilingual SSL","RQ2","Multilingual SSL scaling","Top-tier",4,"HighValue","ModelAnchor","Compact massively multilingual HuBERT","mHuBERT-147","147 languages; ~90k h","WER; F1","Strong compact multilingual encoder on open data","Encoder-only; downstream ASR still depends on adaptation","§6.2","verified"
B08,"AfriHuBERT: A Self-Supervised Speech Representation Model for African Languages",2025,"Interspeech","Conference","Regional SSL","RQ2","Regional multilingual SSL","Top-tier",4,"HighValue","ModelAnchor","Continued pretraining of mHuBERT on African speech","AfriHuBERT","1,226 African languages/dialects; 10k+ h","WER; F1","Shows the value of region-centric continued pretraining","Evidence concentrated on African benchmarks","§6.2","verified"
B09,"Towards Robust Speech Representation Learning for Thousands of Languages",2024,"EMNLP","Conference","Multilingual SSL","RQ2","Multilingual SSL robustness","Top-tier",5,"HighValue","MethodAnchor","Robust multilingual SSL at very large linguistic scale","multilingual robust SSL","thousands of languages","downstream task suite","Strong evidence that scaling must be paired with robustness design","Less entrenched in ASR practice than Whisper or XLS-R","§6.2","verified"
B10,"Scaling Speech Technology to 1,000+ Languages",2024,"JMLR","Journal","Foundation speech","RQ2","Massively multilingual scaling","Top-tier",5,"CoreAnchor","ModelAnchor","wav2vec-based SSL plus massively multilingual ASR/TTS/LID","MMS","1,406 SSL / 1,107 ASR languages","WER; CER","Landmark coverage expansion with strong low-resource transfer","Data provenance and domain skew require explicit discussion","§6.2","verified"
B11,"Google USM: Scaling Automatic Speech Recognition Beyond 100 Languages",2023,"arXiv","Preprint","Foundation ASR","RQ2","Multilingual encoder-decoder ASR","Watchlist",4,"HighValue","ModelAnchor","12M h multilingual encoder pretraining plus supervised ASR","USM","300+ pretrain languages; 100+ ASR languages","WER","Important scaling-law anchor for multilingual ASR","Less reproducible; still preprint-led in public record","§6.2","needs verification"
B12,"SpeechT5: Unified-Modal Encoder-Decoder Pre-Training for Spoken Language Processing",2022,"ACL","Conference","Speech-text","RQ2","Unified speech-text pretraining","Top-tier",4,"HighValue","MethodAnchor","Unified encoder-decoder plus cross-modal pretraining","SpeechT5","multi-task speech/text corpora","multi-task metrics incl. WER","Early strong bridge between speech and text pretraining","Not primarily a multilingual low-resource ASR model","§6.3","needs verification"
B13,"SpeechLM: Enhanced Speech Pre-Training with Unpaired Textual Data",2024,"IEEE/ACM TASLP","Journal","Speech-text","RQ2","Speech-text joint pretraining","Top-tier",4,"HighValue","MethodAnchor","Align speech and text through unified discrete units","SpeechLM","speech plus unpaired text","WER/SUPERB-style metrics","Stronger linguistic priors without paired speech-text at scale","Low-resource multilingual ASR evidence remains limited","§6.3","verified"
B14,"Mu2SLAM: Multitask, Multilingual Speech and Language Models",2023,"ICML","Conference","Speech-text multilingual","RQ2","Joint multilingual seq2seq","Top-tier",4,"HighValue","ModelAnchor","Joint pretraining on speech, text, ASR, AST, and MT","Mu2SLAM","100+ languages","WER; BLEU","Important multilingual speech-language bridge","More often cited in ST than mainstream ASR practice","§6.3","verified"
B15,"Textually Pretrained Speech Language Models",2023,"NeurIPS","Conference","SpeechLM","RQ2","Speech language modeling","Top-tier",4,"HighValue","MethodAnchor","Warm-start speech LM from text LM","TWIST","speech-token corpora; spoken StoryCloze variants","ppl; human eval","Strong evidence that text pretraining transfers into spoken modeling","Indirect ASR value; not an ASR benchmark paper","§6.3","verified"
B16,"Robust Speech Recognition via Large-Scale Weak Supervision",2023,"ICML","Conference","Foundation ASR","RQ2","Weakly supervised seq2seq ASR","Top-tier",5,"CoreAnchor","ModelAnchor","680k h multilingual weak supervision","Whisper","multilingual web audio","WER; CER; BLEU","Practical zero-shot baseline that re-centered the field","Hallucination and tail-language variability remain material","§6.4","verified"
B17,"Joint Speech and Text Machine Translation for up to 100 Languages",2025,"Nature","Journal","Multimodal foundation model","RQ2","Unified speech/text translation + ASR","Top-tier",4,"CoreAnchor","ModelAnchor","Unified multimodal multilingual translation/ASR","SeamlessM4T","~100 languages","WER; BLEU; translation metrics","Important all-in-one multilingual speech-text foundation model","ASR evidence must be separated from ST/TT evidence","§6.4","verified"
B18,"OWSM v4: Improving Open Whisper-Style Speech Models via Data Scaling and Cleaning",2025,"Interspeech","Conference","Open foundation ASR","RQ2","Open seq2seq ASR","Top-tier",4,"HighValue","ModelAnchor","Data scaling plus data cleaning for open Whisper-style training","OWSM v4","public data incl. YODAS","WER; CER","Strong reproducibility-oriented open counterpoint to Whisper","Still not a universal replacement for strongest industrial systems","§6.4","verified"
B19,"OpusLM: A Family of Open Unified Speech Language Models",2025,"Interspeech","Conference","Speech-LLM","RQ2","Open SpeechLM","Top-tier",4,"HighValue","ModelAnchor","Family of open unified speech language models","OpusLM","open speech-text resources","task-suite metrics","Useful open SpeechLM anchor for AIR","Evidence still early relative to ASR-specialized families","§6.5","verified"
B20,"Omnilingual ASR: Open-Source Multilingual Speech Recognition for 1600+ Languages",2025,"arXiv","Preprint","Foundation ASR","RQ2","Omnilingual ASR","Watchlist",5,"Watchlist","ModelAnchor","SSL scaling plus LLM-inspired decoder for extensibility","Omnilingual ASR","1600+ languages; 300M-7B family","WER; CER","Major long-tail language coverage story for the review","Preprint; broad claims need independent replication","§6.4","needs verification"
B21,"Seed-ASR: Understanding Diverse Speech and Contexts with LLM-based Speech Recognition",2024,"arXiv","Preprint","LLM-based ASR","RQ2","Context-aware LLM-ASR","Watchlist",4,"Watchlist","ModelAnchor","Audio-conditioned LLM with contextual inputs","Seed-ASR","zh/en; multi-domain and accented speech","WER; CER","Clear example of the LLM-decoder turn in ASR","Open reproducibility remains limited","§6.5","needs verification"
B22,"Qwen-Audio: Advancing Universal Audio Understanding via Unified Large-Scale Audio-Language Models",2023,"arXiv","Preprint","Audio-language model","RQ2","Speech-LLM bridge","Watchlist",3,"Watchlist","MethodAnchor","Unified multi-task audio-language pretraining","Qwen-Audio","30+ audio tasks","instruction-following/audio metrics","Useful bridge from audio-language models to SpeechLMs","ASR is only a subset of its scope","§6.5","needs verification"
B23,"Qwen2-Audio Technical Report",2024,"arXiv","Preprint","Audio-language model","RQ2","Speech-LLM","Watchlist",4,"Watchlist","ModelAnchor","Natural-language prompt-based audio interaction","Qwen2-Audio","broad audio plus voice chat","AIR-Bench; audio instruction metrics","Strong open SpeechLM reference point","Low-resource ASR evidence is indirect","§6.5","needs verification"
B24,"Qwen2.5-Omni Technical Report",2025,"arXiv","Preprint","Omni SpeechLM","RQ2","Speech-LLM / omni","Watchlist",4,"Watchlist","ModelAnchor","Thinker-Talker end-to-end streaming omni model","Qwen2.5-Omni","text; image; audio; video","omni benchmarks","Important architecture for speech-native multimodal modeling","Low-resource ASR validation remains thin","§6.5","needs verification"
B25,"LLaMA-Omni 2: LLM-based Real-time Spoken Chatbot with Autoregressive Streaming Speech Synthesis",2025,"ACL","Conference","Speech-LLM","RQ2","Real-time SpeechLM","Top-tier",4,"HighValue","ModelAnchor","Streaming speech decoder on top of Qwen backbone","LLaMA-Omni 2","200K multiturn speech dialogues","spoken QA; instruction following","Strong peer-reviewed SpeechLM anchor","Benchmarks lean dialogue-centric more than LR-ASR-centric","§6.5","verified"
B26,"Speechless: Speech Instruction Training Without Speech for Low Resource Languages",2025,"Interspeech","Conference","Low-resource SpeechLM adaptation","RQ2","Low-resource speech instruction tuning","Top-tier",4,"HighValue","MethodAnchor","Text plus duration to audio-token pipeline for scarce-speech tuning","Speechless","low-resource language setting","downstream instruction metrics","Directly relevant to scarce-speech adaptation","Still early and not a broad ASR benchmark paper","§6.5","verified"
B27,"Qwen3-ASR Technical Report",2026,"arXiv","Preprint","LLM-based multilingual ASR","RQ2","Speech-LLM / ASR","Watchlist",5,"Watchlist","ModelAnchor","Multilingual ASR family plus LLM-based alignment","Qwen3-ASR","30 languages; 0.6B/1.7B","WER; CER","Strong 2026 ASR-specific watchlist model","Preprint; still narrower than MMS or Omnilingual in coverage","§6.5","needs verification"
B28,"Probing Multilingual and Accent Robustness of Speech LLMs",2026,"EACL","Conference","Evaluation","RQ2","Benchmark / robustness","Top-tier",4,"HighValue","BenchmarkAnchor","AfriVox benchmark plus targeted PEFT of Qwen2.5-Omni","AfriVox","20 African languages plus accents","WER; BLEU","Shows support gaps and large PEFT gains for unsupported languages","Regional benchmark; not universal","§10","verified"
B29,"LoASR-Bench: Evaluating Large Speech Language Models on Low-Resource Automatic Speech Recognition Across Language Families",2026,"arXiv","Preprint","Evaluation","RQ2","Benchmark / cross-family ASR","Watchlist",4,"Watchlist","BenchmarkAnchor","25-language family-aware low-resource ASR benchmark","LoASR-Bench","25 languages; 9 families","WER; CER","Reveals script and family effects and language-ID dependence","Preprint; benchmark maturity pending","§10","needs verification"
B30,"Multimodal In-context Learning for ASR of Low-resource Languages",2026,"arXiv","Preprint","Method","RQ2","Speech-LLM adaptation","Watchlist",4,"Watchlist","MethodAnchor","MICL with speech LLMs plus hybrid hypothesis selection","Phi-4 / Qwen3-Omni plus acoustic model","3 endangered languages","WER","Valuable 2026 signal that SpeechLMs alone remain weak on unseen LR ASR; hybrid reranking helps","Small language set; preprint","§6.5; §10","needs verification"
BB01,"vq-wav2vec: Self-Supervised Learning of Discrete Speech Representations",2020,"ICLR 2020","ConferencePaper","SSLEncoder","RQ2","Model layer|SSL encoder","Top-tier",4,"High-Value Support","Model anchor","Discrete unit discovery with wav2vec-style self-supervision","vq-wav2vec","Primarily LibriSpeech-style SSL setup","WER; representation quality","Established the discrete-unit lineage later used by HuBERT and w2v-BERT-style speech pretraining.","Less multilingual and less scalable than later encoders.","Historical precursor for the SSL-to-foundation transition.","Needs verification"
BB02,"wav2vec 2.0: A Framework for Self-Supervised Learning of Speech Representations",2020,"NeurIPS 2020","ConferencePaper","SSLEncoder","RQ2","Model layer|SSL encoder","Top-tier",5,"Core Anchor","Model anchor","Masked latent prediction with contrastive learning on raw waveform","wav2vec 2.0","LibriSpeech / Libri-Light","WER","Canonical turning point showing near-supervised ASR with very limited labels after SSL pretraining.","Primarily monolingual; later multilingual scaling papers are needed for low-resource cross-lingual claims.","Core anchor for the foundation-model transition.","Needs verification"
BB03,"Unsupervised Cross-lingual Representation Learning for Speech Recognition",2021,"Interspeech 2021","ConferencePaper","MultilingualSSL","RQ2","Model layer|Multilingual SSL","Top-tier",5,"Core Anchor","Model anchor","Joint multilingual wav2vec-style pretraining over shared discrete space","XLSR / XLSR-53","Common Voice; BABEL; 53 languages","PER; WER","Showed multilingual pretraining can outperform monolingual SSL and share representations across languages.","Scale is much smaller than later multilingual foundation models.","Anchor the first multilingual-transfer wave.","Needs verification"
BB04,"HuBERT: Self-Supervised Speech Representation Learning by Masked Prediction of Hidden Units",2021,"IEEE/ACM TASLP","JournalArticle","SSLEncoder","RQ2","Model layer|SSL encoder","Top-tier",5,"Core Anchor","Model anchor","Offline clustering + masked prediction over hidden units","HuBERT","LibriSpeech / Libri-Light","WER","Replaced contrastive targets with hidden-unit prediction and became one of the most influential SSL baselines for ASR transfer.","Mostly English-centric in original evaluation; multilingual claims require downstream studies.","Core SSL anchor and comparator in Block B.","Needs verification"
